"State","Manufacturing","Logistics","Human Capital","Benefits Costs","Global Position","Productivity and Innovation","Tax Climate","Diversification","Expected Fiscal Liability Gap"
Alabama,B,C,F,A,B,D,C,B,C
Alaska,F,C-,C,D,F,F,B,F,D
Arizona,C,D,D,C+,C-,C+,B,D-,C
Arkansas,C+,C,D,A,D+,F,D-,C,C
California,C,B-,C,C-,C,A,C-,D,C
Colorado,D,D+,B-,B,D,C+,C,C,D+
Connecticut,C,D,B-,C-,B+,B,D,D,D-
Delaware,D,D-,C+,F,A,A,B-,C-,A
Florida,D,C,C,C,D,C,A,B,B
Georgia,D+,B,D,C,C,C,C,A,A
Hawaii,F,F,C,D,F,F,C+,D,D
Idaho,B,D,D+,C,D,C,C,F,C+
Illinois,C+,A,C,C-,B,B-,F,C+,F
Indiana,A,A,C,B-,A,C,A,C,B-
Iowa,A,B+,A,C-,C,C-,F,C,B
Kansas,B+,B-,C,C,C,C,C,C-,D-
Kentucky,A,A,D,B-,A,D+,D+,C,F
Louisiana,C,B,F,B,C,D,D+,D,C
Maine,C-,F,B,D-,D-,D-,D,C,C
Maryland,D,D,C,C,F,B,C-,C-,C
Massachusetts,C,D,B,C,B+,A,D,D,C
Michigan,A,C,D,C,B+,A,B,D,D
Minnesota,B-,B,A,A,C,B,F,C,C
Mississippi,B+,C,F,B,C,F,C+,A,F
Missouri,C,C+,C,A,C,C,A,B,B+
Montana,D-,C,C+,D,D,C-,A,C,D-
Nebraska,C-,B,A,C+,C-,D-,C+,C-,A
Nevada,F,D,D+,B+,B,D+,C,C,C-
New Hampshire,B-,F,B+,D+,B,B,C,D+,D+
New Jersey,C-,C,C,D-,C+,B+,F,D-,F
New Mexico,F,F,F,C+,F,C,C,F,C-
New York,F,C,C-,D,D+,C+,F,B,C
North Carolina,C+,C,C,C,B-,A,B+,B+,A
North Dakota,D-,B,A,B,C-,D,B,C,C-
Ohio,B,A,C-,D,B-,C,C,B,C
Oklahoma,C-,C+,D-,C,F,F,B,C,C+
Oregon,B,C-,C-,D+,C+,A,C,F,B-
Pennsylvania,C-,B+,C,C-,C-,C,D-,A,D
Rhode Island,D,F,C-,D,D,D+,D,B,C-
South Carolina,A,C-,D-,C,A,C-,C,B+,C-
South Dakota,C,C,B,B+,D,D,B,C-,B
Tennessee,B,C+,D,A,B,C,C,B-,B
Texas,C,A,C-,B,A,B-,D,C+,B+
Utah,C,C-,B,B,C-,B,A,B-,A
Vermont,C,D-,B,F,C,C,D,C,C-
Virginia,D,C-,C+,C,D-,C,C,A,C+
Washington,C,C,A,F,C,B,C-,A,B
West Virginia,C,D+,F,F,C,D,B,D+,D
Wisconsin,B,B,B+,C,C+,C-,C-,C+,A
Wyoming,D+,C,B,F,C,C-,B+,F,C
